date,base_currency,EUR,GBP,JPY,AUD,CHF
2023-01-01,USD,0.93756,0.83155,131.88,1.4713,0.92321
2023-01-02,USD,0.93607,0.82964,130.69,1.4695,0.92418
2023-01-03,USD,0.94832,0.83497,130.8,1.4896,0.93684
2023-01-04,USD,0.94349,0.83098,130.9,1.4579,0.92867
2023-01-05,USD,0.94331,0.83297,132.96,1.4635,0.92812
2023-01-06,USD,0.95238,0.84262,134.57,1.4848,0.93943
2023-01-07,USD,0.95238,0.84262,134.57,1.4848,0.93943
2023-01-08,USD,0.95238,0.84262,134.57,1.4848,0.93943
2023-01-09,USD,0.93493,0.82319,132.15,1.4441,0.92231
2023-01-10,USD,0.93257,0.82374,132.35,1.4563,0.924
2023-01-11,USD,0.93049,0.8251,132.7,1.4505,0.92742
2023-01-12,USD,0.92833,0.82334,130.53,1.4454,0.93353
2023-01-13,USD,0.92473,0.82116,128.56,1.4413,0.92944
2023-01-14,USD,0.92473,0.82116,128.56,1.4413,0.92944
2023-01-15,USD,0.92473,0.82116,128.56,1.4413,0.92944
2023-01-16,USD,0.9249,0.82092,128.49,1.437,0.9273
2023-01-17,USD,0.92225,0.81707,128.65,1.4397,0.92207
2023-01-18,USD,0.92259,0.80755,128.97,1.422,0.91392
2023-01-19,USD,0.92464,0.81043,128.54,1.4541,0.91734
2023-01-20,USD,0.9237,0.80916,130.11,1.4427,0.92019
2023-01-21,USD,0.9237,0.80916,130.11,1.4427,0.92019
2023-01-22,USD,0.9237,0.80916,130.11,1.4427,0.92019
2023-01-23,USD,0.91988,0.80922,130.3,1.4285,0.92107
2023-01-24,USD,0.92098,0.81385,130.29,1.4248,0.92586
2023-01-25,USD,0.91929,0.81125,129.78,1.412,0.92113
2023-01-26,USD,0.91785,0.80721,129.77,1.405,0.91804
2023-01-27,USD,0.92039,0.80888,129.87,1.4072,0.92195
2023-01-28,USD,0.92039,0.80888,129.87,1.4072,0.92195
2023-01-29,USD,0.92039,0.80888,129.87,1.4072,0.92195
2023-01-30,USD,0.91718,0.80692,130.05,1.4115,0.92131
2023-01-31,USD,0.92311,0.81301,130.41,1.4286,0.92606
2023-02-01,USD,0.91794,0.81158,129.77,1.4129,0.9161
2023-02-02,USD,0.91008,0.8126,128.43,1.4022,0.90936
2023-02-03,USD,0.91433,0.81604,128.42,1.4171,0.91332
2023-02-04,USD,0.91433,0.81604,128.42,1.4171,0.91332
2023-02-05,USD,0.91433,0.81604,128.42,1.4171,0.91332
2023-02-06,USD,0.92799,0.82849,132.15,1.4473,0.92465
2023-02-07,USD,0.93458,0.83493,132.06,1.4458,0.92579
2023-02-08,USD,0.93153,0.8272,131.17,1.4361,0.92045
2023-02-09,USD,0.92842,0.82179,130.72,1.4306,0.91821
2023-02-10,USD,0.93545,0.82645,130.85,1.4436,0.92348
2023-02-11,USD,0.93545,0.82645,130.85,1.4436,0.92348
2023-02-12,USD,0.93545,0.82645,130.85,1.4436,0.92348
2023-02-13,USD,0.9358,0.82614,132.56,1.44,0.92167
2023-02-14,USD,0.92945,0.81908,132.11,1.4324,0.91737
